timestamp,component,hardware,sensor_type,value,min,max
2026-05-23T12:46:26,CPU Core,Sensor,Voltage,0.0,0.0,1.291
2026-05-23T12:46:26,P-Core #1,Sensor,Voltage,0.683,0.646,1.344
2026-05-23T12:46:26,P-Core #2,Sensor,Voltage,0.683,0.641,1.294
2026-05-23T12:46:26,E-Core #1,Sensor,Voltage,0.613,0.608,1.135
2026-05-23T12:46:26,E-Core #2,Sensor,Voltage,0.613,0.608,1.135
2026-05-23T12:46:26,E-Core #3,Sensor,Voltage,0.613,0.608,1.135
2026-05-23T12:46:26,E-Core #4,Sensor,Voltage,0.613,0.608,1.135
2026-05-23T12:46:26,E-Core #5,Sensor,Voltage,0.615,0.613,1.118
2026-05-23T12:46:26,E-Core #6,Sensor,Voltage,0.615,0.613,1.118
2026-05-23T12:46:26,E-Core #7,Sensor,Voltage,0.615,0.613,1.12
2026-05-23T12:46:26,E-Core #8,Sensor,Voltage,0.615,0.613,1.12
2026-05-23T12:46:26,P-Core #3,Sensor,Voltage,0.731,0.666,1.314
2026-05-23T12:46:26,P-Core #4,Sensor,Voltage,0.683,0.656,1.314
2026-05-23T12:46:26,P-Core #5,Sensor,Voltage,0.683,0.661,1.296
2026-05-23T12:46:26,P-Core #6,Sensor,Voltage,0.683,0.651,1.284
2026-05-23T12:46:26,CPU Package,Sensor,Power,8.0,2.1,54.0
2026-05-23T12:46:26,CPU Cores,Sensor,Power,1.8,0.0,47.3
2026-05-23T12:46:26,CPU Memory,Sensor,Power,0.0,0.0,0.0
2026-05-23T12:46:26,CPU Platform,Sensor,Power,0.3,0.0,0.3
2026-05-23T12:46:26,Bus Speed,Sensor,Clock,99.6,99.6,99.6
2026-05-23T12:46:26,P-Core #1,Sensor,Clock,1394.9,398.5,5380.2
2026-05-23T12:46:26,P-Core #2,Sensor,Clock,4583.1,996.3,5380.2
2026-05-23T12:46:26,E-Core #1,Sensor,Clock,1494.5,398.5,4483.5
2026-05-23T12:46:26,E-Core #2,Sensor,Clock,1494.5,398.5,4483.5
2026-05-23T12:46:26,E-Core #3,Sensor,Clock,1494.5,896.7,4483.5
2026-05-23T12:46:26,E-Core #4,Sensor,Clock,1494.5,398.5,4483.5
2026-05-23T12:46:26,E-Core #5,Sensor,Clock,1494.5,398.5,4483.5
2026-05-23T12:46:26,E-Core #6,Sensor,Clock,1494.5,398.5,4483.5
2026-05-23T12:46:26,E-Core #7,Sensor,Clock,1494.5,398.5,4483.5
2026-05-23T12:46:26,E-Core #8,Sensor,Clock,1494.5,797.1,4483.5
2026-05-23T12:46:26,P-Core #3,Sensor,Clock,2789.7,398.5,5380.2
2026-05-23T12:46:26,P-Core #4,Sensor,Clock,1394.9,398.5,5380.2
2026-05-23T12:46:26,P-Core #5,Sensor,Clock,1793.4,398.5,5380.2
2026-05-23T12:46:26,P-Core #6,Sensor,Clock,1394.9,398.5,5380.2
2026-05-23T12:46:26,E-Core #9,Sensor,Clock,1096.0,398.5,2490.8
2026-05-23T12:46:26,E-Core #10,Sensor,Clock,1096.0,398.5,2490.8
2026-05-23T12:46:26,Core Max,Sensor,Temperature,48.0,44.0,90.0
2026-05-23T12:46:26,Core Average,Sensor,Temperature,44.5,42.5,60.6
2026-05-23T12:46:26,P-Core #1,Sensor,Temperature,46.0,44.0,88.0
2026-05-23T12:46:26,P-Core #2,Sensor,Temperature,48.0,44.0,78.0
2026-05-23T12:46:26,E-Core #1,Sensor,Temperature,44.0,42.0,70.0
2026-05-23T12:46:26,E-Core #2,Sensor,Temperature,44.0,42.0,70.0
2026-05-23T12:46:26,E-Core #3,Sensor,Temperature,44.0,42.0,70.0
2026-05-23T12:46:26,E-Core #4,Sensor,Temperature,44.0,42.0,70.0
2026-05-23T12:46:26,E-Core #5,Sensor,Temperature,44.0,42.0,60.0
2026-05-23T12:46:26,E-Core #6,Sensor,Temperature,44.0,42.0,60.0
2026-05-23T12:46:26,E-Core #7,Sensor,Temperature,44.0,42.0,60.0
2026-05-23T12:46:26,E-Core #8,Sensor,Temperature,44.0,42.0,60.0
2026-05-23T12:46:26,P-Core #3,Sensor,Temperature,46.0,44.0,90.0
2026-05-23T12:46:26,P-Core #4,Sensor,Temperature,46.0,44.0,88.0
2026-05-23T12:46:26,P-Core #5,Sensor,Temperature,46.0,44.0,82.0
2026-05-23T12:46:26,P-Core #6,Sensor,Temperature,46.0,44.0,90.0
2026-05-23T12:46:26,E-Core #9,Sensor,Temperature,41.0,38.0,47.0
2026-05-23T12:46:26,E-Core #10,Sensor,Temperature,41.0,38.0,47.0
2026-05-23T12:46:26,CPU Package,Sensor,Temperature,48.0,44.0,92.0
2026-05-23T12:46:26,P-Core #1 Distance to TjMax,Sensor,Temperature,59.0,17.0,61.0
2026-05-23T12:46:26,P-Core #2 Distance to TjMax,Sensor,Temperature,57.0,27.0,61.0
2026-05-23T12:46:26,E-Core #1 Distance to TjMax,Sensor,Temperature,61.0,35.0,63.0
2026-05-23T12:46:26,E-Core #2 Distance to TjMax,Sensor,Temperature,61.0,35.0,63.0
2026-05-23T12:46:26,E-Core #3 Distance to TjMax,Sensor,Temperature,61.0,35.0,63.0
2026-05-23T12:46:26,E-Core #4 Distance to TjMax,Sensor,Temperature,61.0,35.0,63.0
2026-05-23T12:46:26,E-Core #5 Distance to TjMax,Sensor,Temperature,61.0,45.0,63.0
2026-05-23T12:46:26,E-Core #6 Distance to TjMax,Sensor,Temperature,61.0,45.0,63.0
2026-05-23T12:46:26,E-Core #7 Distance to TjMax,Sensor,Temperature,61.0,45.0,63.0
2026-05-23T12:46:26,E-Core #8 Distance to TjMax,Sensor,Temperature,61.0,45.0,63.0
2026-05-23T12:46:26,P-Core #3 Distance to TjMax,Sensor,Temperature,59.0,15.0,61.0
2026-05-23T12:46:26,P-Core #4 Distance to TjMax,Sensor,Temperature,59.0,17.0,61.0
2026-05-23T12:46:26,P-Core #5 Distance to TjMax,Sensor,Temperature,59.0,23.0,61.0
2026-05-23T12:46:26,P-Core #6 Distance to TjMax,Sensor,Temperature,59.0,15.0,61.0
2026-05-23T12:46:26,E-Core #9 Distance to TjMax,Sensor,Temperature,64.0,58.0,67.0
2026-05-23T12:46:26,E-Core #10 Distance to TjMax,Sensor,Temperature,64.0,58.0,67.0
2026-05-23T12:46:26,CPU Total,Sensor,Load,1.5,0.0,87.5
2026-05-23T12:46:26,CPU Core Max,Sensor,Load,12.3,0.0,100.0
2026-05-23T12:46:26,CPU Core #1,Sensor,Load,1.5,0.0,100.0
2026-05-23T12:46:26,CPU Core #2,Sensor,Load,7.7,0.0,100.0
2026-05-23T12:46:26,CPU Core #3,Sensor,Load,0.0,0.0,100.0
2026-05-23T12:46:26,CPU Core #4,Sensor,Load,0.0,0.0,100.0
2026-05-23T12:46:26,CPU Core #5,Sensor,Load,0.0,0.0,100.0
2026-05-23T12:46:26,CPU Core #6,Sensor,Load,1.6,0.0,100.0
2026-05-23T12:46:26,CPU Core #7,Sensor,Load,1.6,0.0,100.0
2026-05-23T12:46:26,CPU Core #8,Sensor,Load,0.0,0.0,100.0
2026-05-23T12:46:26,CPU Core #9,Sensor,Load,0.0,0.0,100.0
2026-05-23T12:46:26,CPU Core #10,Sensor,Load,0.0,0.0,100.0
2026-05-23T12:46:26,CPU Core #11,Sensor,Load,12.3,0.0,100.0
2026-05-23T12:46:26,CPU Core #12,Sensor,Load,0.0,0.0,100.0
2026-05-23T12:46:26,CPU Core #13,Sensor,Load,0.0,0.0,100.0
2026-05-23T12:46:26,CPU Core #14,Sensor,Load,0.0,0.0,100.0
2026-05-23T12:46:26,CPU Core #15,Sensor,Load,0.0,0.0,1.6
2026-05-23T12:46:26,CPU Core #16,Sensor,Load,0.0,0.0,3.1
2026-05-23T12:46:26,Memory,Sensor,Load,19.5,7.9,20.1
2026-05-23T12:46:26,Memory Used,Sensor,,14.1,5.7,14.6
2026-05-23T12:46:26,Memory Available,Sensor,,58.4,57.9,66.8
2026-05-23T12:46:26,Memory,Sensor,Load,22.4,9.4,23.2
2026-05-23T12:46:26,Memory Used,Sensor,,14.2,6.0,14.8
2026-05-23T12:46:26,Memory Available,Sensor,,49.3,48.8,57.6
2026-05-23T12:46:26,DIMM #0,Sensor,Temperature,37.0,36.0,39.0
2026-05-23T12:46:26,Temperature Sensor Resolution,Sensor,Temperature,0.3,0.3,0.3
2026-05-23T12:46:26,Thermal Sensor Low Limit,Sensor,Temperature,0.0,0.0,0.0
2026-05-23T12:46:26,Thermal Sensor High Limit,Sensor,Temperature,55.0,55.0,55.0
2026-05-23T12:46:26,Thermal Sensor Critical Low Limit,Sensor,Temperature,0.0,0.0,0.0
2026-05-23T12:46:26,Thermal Sensor Critical High Limit,Sensor,Temperature,85.0,85.0,85.0
2026-05-23T12:46:26,Capacity,Sensor,,64.0,64.0,64.0
2026-05-23T12:46:26,tCKAVGmin (Minimum Cycle Time),Sensor,,0.357,0.357,0.357
2026-05-23T12:46:26,tCKAVGmax (Maximum Cycle Time),Sensor,,1.01,1.01,1.01
2026-05-23T12:46:26,tAA (CAS Latency Time),Sensor,,16.0,16.0,16.0
2026-05-23T12:46:26,tRCD (RAS to CAS Delay Time),Sensor,,16.0,16.0,16.0
2026-05-23T12:46:26,tRP (Row Precharge Delay Time),Sensor,,16.0,16.0,16.0
2026-05-23T12:46:26,tRAS (Active to Precharge Delay Time),Sensor,,32.0,32.0,32.0
2026-05-23T12:46:26,tRC (Active to Active/Refresh Delay Time),Sensor,,48.0,48.0,48.0
2026-05-23T12:46:26,tWR (Write Recovery Time),Sensor,,30.0,30.0,30.0
2026-05-23T12:46:26,tRFC1 (Normal Refresh Recovery Time),Sensor,,295.0,295.0,295.0
2026-05-23T12:46:26,tRFC2 (Fine Granularity Refresh Recovery Time),Sensor,,160.0,160.0,160.0
2026-05-23T12:46:26,tRFCsb (Same Bank Refresh Recovery Time),Sensor,,130.0,130.0,130.0
2026-05-23T12:46:26,tRFC1_dlr (Normal Refresh Recovery Time 3DS),Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS),Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS),Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,DIMM #2,Sensor,Temperature,38.5,36.8,41.3
2026-05-23T12:46:26,Temperature Sensor Resolution,Sensor,Temperature,0.3,0.3,0.3
2026-05-23T12:46:26,Thermal Sensor Low Limit,Sensor,Temperature,0.0,0.0,0.0
2026-05-23T12:46:26,Thermal Sensor High Limit,Sensor,Temperature,55.0,55.0,55.0
2026-05-23T12:46:26,Thermal Sensor Critical Low Limit,Sensor,Temperature,0.0,0.0,0.0
2026-05-23T12:46:26,Thermal Sensor Critical High Limit,Sensor,Temperature,85.0,85.0,85.0
2026-05-23T12:46:26,Capacity,Sensor,,64.0,64.0,64.0
2026-05-23T12:46:26,tCKAVGmin (Minimum Cycle Time),Sensor,,0.357,0.357,0.357
2026-05-23T12:46:26,tCKAVGmax (Maximum Cycle Time),Sensor,,1.01,1.01,1.01
2026-05-23T12:46:26,tAA (CAS Latency Time),Sensor,,16.0,16.0,16.0
2026-05-23T12:46:26,tRCD (RAS to CAS Delay Time),Sensor,,16.0,16.0,16.0
2026-05-23T12:46:26,tRP (Row Precharge Delay Time),Sensor,,16.0,16.0,16.0
2026-05-23T12:46:26,tRAS (Active to Precharge Delay Time),Sensor,,32.0,32.0,32.0
2026-05-23T12:46:26,tRC (Active to Active/Refresh Delay Time),Sensor,,48.0,48.0,48.0
2026-05-23T12:46:26,tWR (Write Recovery Time),Sensor,,30.0,30.0,30.0
2026-05-23T12:46:26,tRFC1 (Normal Refresh Recovery Time),Sensor,,295.0,295.0,295.0
2026-05-23T12:46:26,tRFC2 (Fine Granularity Refresh Recovery Time),Sensor,,160.0,160.0,160.0
2026-05-23T12:46:26,tRFCsb (Same Bank Refresh Recovery Time),Sensor,,130.0,130.0,130.0
2026-05-23T12:46:26,tRFC1_dlr (Normal Refresh Recovery Time 3DS),Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS),Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS),Sensor,,0.0,0.0,0.0
2026-05-23T12:46:26,GPU Power,Sensor,Power,0.0,0.0,0.6
2026-05-23T12:46:26,GPU Core,Sensor,Clock,300.0,100.0,2350.0
2026-05-23T12:46:26,D3D ,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D ,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D ,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D ,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D ,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D ,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D 3D,Sensor,Load,0.9,0.0,20.8
2026-05-23T12:46:26,D3D Compute,Sensor,Load,0.0,0.0,0.9
2026-05-23T12:46:26,D3D Copy,Sensor,Load,0.0,0.0,0.8
2026-05-23T12:46:26,D3D GSC,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D Video Decode,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D Video Decode,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D Video Processing,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,D3D Shared Memory Used,Sensor,,1214.3,287.9,1397.3
2026-05-23T12:46:26,D3D Shared Memory Free,Sensor,,35868.3,35685.2,36794.7
2026-05-23T12:46:26,D3D Shared Memory Total,Sensor,,37082.6,37082.6,37082.6
2026-05-23T12:46:26,Composite Temperature,Sensor,Temperature,34.0,0.0,39.0
2026-05-23T12:46:26,Temperature #2,Sensor,Temperature,60.9,0.0,60.9
2026-05-23T12:46:26,Warning Temperature,Sensor,Temperature,74.0,0.0,74.0
2026-05-23T12:46:26,Critical Temperature,Sensor,Temperature,79.0,0.0,79.0
2026-05-23T12:46:26,Used Space,Sensor,Load,19.9,19.8,19.9
2026-05-23T12:46:26,Read Activity,Sensor,Load,0.2,0.0,100.0
2026-05-23T12:46:26,Write Activity,Sensor,Load,0.1,0.0,100.0
2026-05-23T12:46:26,Total Activity,Sensor,Load,0.4,0.0,100.0
2026-05-23T12:46:26,Life,Sensor,Load,100.0,0.0,100.0
2026-05-23T12:46:26,Available Spare,Sensor,Load,100.0,0.0,100.0
2026-05-23T12:46:26,Available Spare Threshold,Sensor,Load,10.0,0.0,10.0
2026-05-23T12:46:26,Percentage Used,Sensor,Load,0.0,0.0,0.0
2026-05-23T12:46:26,Power On Count,Sensor,,28.0,0.0,28.0
